PATH,CELL LINE
ENCFF853TRI.tsv,GM12878
ENCFF305QBE.tsv,GM12878
ENCFF332TWQ.tsv,K562
ENCFF425PIK.tsv,K562
ENCFF430KOC.tsv,HepG2
ENCFF966SVU.tsv,HepG2
ENCFF504AOD.tsv,HeLa-S2
ENCFF214ZYK.tsv,HeLa-S2
ENCFF679BHK.tsv,H1
ENCFF289GEC.tsv,H1
ENCFF211SQP.tsv,HUVEC
ENCFF318QVC.tsv,HUVEC
ENCFF566XEO.tsv,NHEK
ENCFF570MJL.tsv,NHEK
ENCFF578YTC.tsv,A549
ENCFF908XTR.tsv,A549
ENCFF289GEC.tsv,H1-hESC
ENCFF466EBZ.tsv,H1-hESC
ENCFF749LVX.tsv,HMEC
ENCFF476ARS.tsv,HMEC
ENCFF226JIS.tsv,HSMM
ENCFF036QPG.tsv,HSMM
ENCFF735QLM.tsv,MCF-7
ENCFF317XCR.tsv,MCF-7
ENCFF879KHB.tsv,Th1
ENCFF979WIG.tsv,Th1
ENCFF242CZI.tsv,BE2C
ENCFF465LLS.tsv,BE2C
ENCFF256IPJ.tsv,BE2C
ENCFF982HRR.tsv,BJ
ENCFF967KIB.tsv,BJ
ENCFF154BBN.tsv,BJ
ENCFF799GFQ.tsv,Jurkat
ENCFF847SAP.tsv,Jurkat
ENCFF226OYU.tsv,Jurkat
ENCFF167IBQ.tsv,Monocytes-CD14+
ENCFF857HLU.tsv,Monocytes-CD14+
ENCFF780XKG.tsv,Monocytes-CD14+
ENCFF609ZJO.tsv,NHLF
ENCFF400BDD.tsv,NHLF
ENCFF921FTG.tsv,Panc1
ENCFF149WMH.tsv,Panc1
ENCFF249UJV.tsv,Panc1
ENCFF979WIG.tsv,Th2
ENCFF879KHB.tsv,Th2
ENCFF642IQW.tsv,CD20
ENCFF410IPV.tsv,CD20
ENCFF040ZTX.tsv,CD34
ENCFF932WWC.tsv,CD34
ENCFF770CRK.tsv,Ishikawa-ES
ENCFF667ZBZ.tsv,Ishikawa-ES
ENCFF954RVV.tsv,Chorion
ENCFF376HRQ.tsv,Chorion
ENCFF255QOM.tsv,HeLa-S3
ENCFF255QOM.tsv,HeLa-S3
ENCFF264EOK.tsv,Hepatocytes
ENCFF064IQR.tsv,Hepatocytes
ENCFF549FIH.tsv,T-47D
ENCFF234TQB.tsv,T-47D
